class,m,mistakes,beta,lambd
9,10,1194,0.01,0.002
9,20,908,0.01,0.02
9,30,787,0.0001,0.2
9,40,729,0.01,0.02
9,50,708,0.0001,0.02
9,60,694,0.01,0.02
9,70,683,0.01,0.2
9,80,686,0.01,0.2
9,90,681,0.0001,0.2
9,100,686,0.0001,0.02
9,200,676,0.1,0.2
9,300,683,0.0001,0.2
9,400,682,0.0001,0.2
9,500,682,0.0001,0.2
9,700,682,0.0001,0.2
7,10,620,0.0001,0.002
7,20,457,0.0001,0.2
7,30,386,0.0001,0.0002
7,40,375,0.01,0.02
7,50,364,0.0001,0.002
7,60,362,0.0001,0.2
7,70,360,0.0001,0.2
7,80,360,0.01,0.2
7,90,360,0.01,0.2
7,100,358,0.01,0.2
7,200,354,0.0001,0.2
7,300,353,0.0001,0.2
7,400,351,0.0001,0.2
7,500,351,0.0001,0.2
7,700,351,0.0001,0.2
1,10,251,0.001,0.0002
1,20,152,0.0001,0.002
1,30,140,0.0001,0.0002
1,40,136,0.0001,0.0002
1,50,136,0.0001,0.0002
1,60,135,0.0001,0.002
1,70,139,0.0001,0.2
1,80,141,0.0001,0.002
1,90,139,0.0001,0.002
1,100,138,0.0001,0.2
1,200,139,0.001,0.2
1,300,139,0.001,0.2
1,400,139,0.001,0.2
1,500,139,0.001,0.2
1,700,139,0.001,0.2
3,10,807,0.01,0.0002
3,20,621,0.0001,0.2
3,30,564,0.01,0.2
3,40,516,0.001,0.0002
3,50,503,0.001,0.0002
3,60,487,0.0001,0.0002
3,70,481,0.0001,0.0002
3,80,480,0.0001,0.002
3,90,476,0.0001,0.02
3,100,471,0.0001,0.002
3,200,472,0.01,0.2
3,300,470,0.1,0.2
3,400,471,0.1,0.2
3,500,471,0.1,0.2
3,700,471,0.1,0.2
6,10,511,0.0001,0.0002
6,20,323,0.0001,0.0002
6,30,272,0.0001,0.02
6,40,244,0.01,0.002
6,50,222,0.0001,0.02
6,60,216,0.01,0.02
6,70,210,0.0001,0.0002
6,80,207,0.0001,0.02
6,90,211,0.0001,0.02
6,100,212,0.0001,0.02
6,200,223,0.0001,0.02
6,300,222,0.0001,0.2
6,400,222,0.01,0.2
6,500,222,0.01,0.2
6,700,222,0.01,0.2
