class,rank,mistakes,alpha,epsilon
9,10,1084,0.1,2.0
9,20,958,0.1,2.0
9,30,895,0.1,2.0
9,40,882,0.001,1.0
9,50,860,0.1,1.0
9,60,807,0.001,1.0
9,70,807,0.01,1.0
9,80,806,0.0001,1.0
9,90,800,0.001,1.0
9,100,791,0.0001,1.0
9,200,752,0.001,0.2
9,300,681,0.0001,0.2
9,400,678,0.001,0.2
9,500,678,0.001,0.2
9,700,678,0.001,0.2
7,10,562,0.0001,2.0
7,20,499,0.0001,2.0
7,30,473,1.0,2.0
7,40,459,0.1,2.0
7,50,448,0.0001,2.0
7,60,428,0.0001,1.0
7,70,413,0.01,1.0
7,80,393,0.0001,1.0
7,90,395,0.0001,1.0
7,100,394,0.0001,1.0
7,200,386,0.01,1.0
7,300,355,0.0001,0.2
7,400,354,0.0001,0.2
7,500,355,0.0001,0.2
7,700,355,0.0001,0.2
1,10,691,0.0001,2.0
1,20,492,0.0001,2.0
1,30,454,0.0001,1.0
1,40,487,0.0001,1.0
1,50,596,0.01,1.0
1,60,586,0.0001,1.0
1,70,412,0.01,1.0
1,80,455,0.0001,1.0
1,90,406,0.0001,1.0
1,100,241,0.0001,0.2
1,200,143,0.0001,0.2
1,300,137,0.0001,0.2
1,400,137,0.0001,0.2
1,500,137,0.0001,0.2
1,700,137,0.0001,0.2
3,10,642,0.0001,2.0
3,20,627,0.0001,2.0
3,30,589,0.0001,2.0
3,40,575,0.1,2.0
3,50,571,0.0001,2.0
3,60,558,0.0001,1.0
3,70,536,0.1,1.0
3,80,535,0.1,1.0
3,90,530,0.1,1.0
3,100,527,0.1,1.0
3,200,509,0.1,1.0
3,300,483,0.001,0.2
3,400,474,0.001,0.2
3,500,476,0.001,0.2
3,700,476,0.001,0.2
6,10,414,0.0001,2.0
6,20,374,0.01,2.0
6,30,328,0.0001,2.0
6,40,298,0.1,2.0
6,50,286,0.0001,2.0
6,60,289,0.1,2.0
6,70,285,0.0001,1.0
6,80,266,0.01,1.0
6,90,272,0.0001,1.0
6,100,262,0.0001,1.0
6,200,255,0.0001,1.0
6,300,228,0.0001,0.2
6,400,221,0.001,0.2
6,500,222,0.0001,0.2
6,700,222,0.0001,0.2
